t,if,il,vl
5.1800,5.0000,6.4599,-1.4599
5.1900,5.0000,6.4454,-1.4454
5.2000,5.0000,6.4310,-1.4310
5.2100,5.0000,6.4168,-1.4168
5.2200,5.0000,6.4027,-1.4027
5.2300,5.0000,6.3887,-1.3887
5.2400,5.0000,6.3749,-1.3749
5.2500,5.0000,6.3612,-1.3612
5.2600,5.0000,6.3477,-1.3477
5.2700,5.0000,6.3342,-1.3342
5.2800,5.0000,6.3210,-1.3210
5.2900,5.0000,6.3078,-1.3078
5.3000,5.0000,6.2948,-1.2948
5.3100,5.0000,6.2819,-1.2819
5.3200,5.0000,6.2692,-1.2692
5.3300,5.0000,6.2565,-1.2565
5.3400,5.0000,6.2440,-1.2440
5.3500,5.0000,6.2317,-1.2317
5.3600,5.0000,6.2194,-1.2194
5.3700,5.0000,6.2073,-1.2073
5.3800,5.0000,6.1953,-1.1953
5.3900,5.0000,6.1834,-1.1834
5.4000,5.0000,6.1716,-1.1716
5.4100,5.0000,6.1599,-1.1599
5.4200,5.0000,6.1484,-1.1484
5.4300,5.0000,6.1370,-1.1370
5.4400,5.0000,6.1257,-1.1257
5.4500,5.0000,6.1145,-1.1145
5.4600,5.0000,6.1034,-1.1034
5.4700,5.0000,6.0924,-1.0924
5.4800,5.0000,6.0815,-1.0815
5.4900,5.0000,6.0708,-1.0708
5.5000,5.0000,6.0601,-1.0601
5.5100,5.0000,6.0496,-1.0496
5.5200,5.0000,6.0391,-1.0391
5.5300,5.0000,6.0288,-1.0288
5.5400,5.0000,6.0185,-1.0185
5.5500,5.0000,6.0084,-1.0084
5.5600,5.0000,5.9984,-0.9984
5.5700,5.0000,5.9884,-0.9884
5.5800,5.0000,5.9786,-0.9786
5.5900,5.0000,5.9689,-0.9689
5.6000,5.0000,5.9592,-0.9592
5.6100,5.0000,5.9497,-0.9497
5.6200,5.0000,5.9402,-0.9402
5.6300,5.0000,5.9309,-0.9309
5.6400,5.0000,5.9216,-0.9216
5.6500,5.0000,5.9124,-0.9124
5.6600,5.0000,5.9034,-0.9034
5.6700,5.0000,5.8944,-0.8944
5.6800,5.0000,5.8855,-0.8855
5.6900,5.0000,5.8767,-0.8767
5.7000,5.0000,5.8679,-0.8679
5.7100,5.0000,5.8593,-0.8593
5.7200,5.0000,5.8508,-0.8508
5.7300,5.0000,5.8423,-0.8423
5.7400,5.0000,5.8339,-0.8339
5.7500,5.0000,5.8256,-0.8256
5.7600,5.0000,5.8174,-0.8174
5.7700,5.0000,5.8093,-0.8093
5.7800,5.0000,5.8012,-0.8012
5.7900,5.0000,5.7932,-0.7932
5.8000,5.0000,5.7853,-0.7853
5.8100,5.0000,5.7775,-0.7775
